zip,city,state,county,latitude,longitude,10_year_price,5_year_price,current_price,10_year_growth,5_year_growth
32449,Wewahitchka,FL,Calhoun,30.4059,-85.1974,"46,273.00","75,692.00","88,614.00",0.92,0.17
32465,Wewahitchka,FL,Gulf,30.0933,-85.2048,"57,576.00","80,322.00","97,341.00",0.69,0.21
32464,Westville,FL,Holmes,30.8747,-85.913,"60,152.00","85,970.00","130,818.00",1.17,0.52
33167,Miami,FL,Miami-Dade,25.8856,-80.2292,"102,159.00","171,858.00","310,566.00",2.04,0.81
33326,Fort Lauderdale,FL,Broward,26.1158,-80.3681,"204,976.00","311,306.00","413,692.00",1.02,0.33
33327,Fort Lauderdale,FL,Broward,26.1168,-80.4156,"352,554.00","488,963.00","600,992.00",0.70,0.23
33331,Fort Lauderdale,FL,Broward,26.048,-80.3749,"333,452.00","461,047.00","604,452.00",0.81,0.31
33332,Fort Lauderdale,FL,Broward,26.0596,-80.4146,"423,766.00","559,635.00","700,765.00",0.65,0.25
33626,Tampa,FL,Hillsborough,28.0509,-82.6164,"241,807.00","329,620.00","454,953.00",0.88,0.38
33401,West Palm Beach,FL,Palm Beach,26.7165,-80.0679,"132,021.00","217,650.00","290,620.00",1.20,0.34
33405,West Palm Beach,FL,Palm Beach,26.67,-80.0582,"133,199.00","239,888.00","383,737.00",1.88,0.60
33407,West Palm Beach,FL,Palm Beach,26.7492,-80.0725,"99,864.00","159,273.00","252,446.00",1.53,0.59
33409,West Palm Beach,FL,Palm Beach,26.7162,-80.0965,"90,294.00","155,116.00","239,056.00",1.65,0.54
33412,West Palm Beach,FL,Palm Beach,26.8055,-80.2482,"241,957.00","365,388.00","505,370.00",1.09,0.38
32904,Melbourne,FL,Brevard,28.0673,-80.678,"145,977.00","217,674.00","321,243.00",1.20,0.48
33147,Miami,FL,Miami-Dade,25.8507,-80.2366,"77,738.00","156,879.00","294,591.00",2.79,0.88
33714,Saint Petersburg,FL,Pinellas,27.8176,-82.6776,"69,165.00","117,613.00","209,263.00",2.03,0.78
33543,Wesley Chapel,FL,Pasco,28.2397,-82.3279,"150,595.00","224,618.00","335,805.00",1.23,0.50
